"","Ia","Ib","II","nonevent","names"
"CO242.mean",0.572944297082228,0.662550820659539,0.566471012254145,0.662550820659539,"CO242.mean"
"CO2504.std",0.764437058579144,0.764437058579144,0.764437058579144,0.758915414087828,"CO2504.std"
"H2O84.std",0.723548482169172,0.690486082260075,0.690486082260075,0.723548482169172,"H2O84.std"
"NO168.std",0.621279104037725,0.603071826532149,0.595762359783963,0.621279104037725,"NO168.std"
"NO42.std",0.611549646863315,0.631832555338051,0.611549646863315,0.631832555338051,"NO42.std"
"NO672.std",0.644857058650162,0.658936907092305,0.608641462401329,0.658936907092305,"NO672.std"
"NOx168.std",0.572354848216917,0.623550670079807,0.568342334856668,0.623550670079807,"NOx168.std"
"NOx336.std",0.557029177718833,0.627164583647041,0.539260490236809,0.627164583647041,"NOx336.std"
"NOx42.std",0.604486913169921,0.644631832555338,0.604486913169921,0.644631832555338,"NOx42.std"
"NOx504.std",0.567049808429119,0.651407920493902,0.557955961778147,0.651407920493902,"NOx504.std"
"O342.mean",0.543415039468218,0.74311097726246,0.543415039468218,0.74311097726246,"O342.mean"
"O3672.std",0.617152961980548,0.612796011632738,0.612796011632738,0.617152961980548,"O3672.std"
"Pamb0.mean",0.58384910109048,0.615871103749435,0.533312738132015,0.615871103749435,"Pamb0.mean"
"Pamb0.std",0.550477773161612,0.573859358530342,0.550477773161612,0.573859358530342,"Pamb0.std"
"PTG.mean",0.541408782788093,0.663604878783316,0.559777571825765,0.663604878783316,"PTG.mean"
"PTG.std",0.597701149425287,0.665110676102997,0.585375986705442,0.665110676102997,"PTG.std"
"RHIRGA672.std",0.589530535936851,0.669326908598103,0.589530535936851,0.669326908598103,"RHIRGA672.std"
"RPAR.mean",0.547597995873858,0.76193344375847,0.584079909381114,0.76193344375847,"RPAR.mean"
"SO2168.mean",0.521811383464894,0.521811383464894,0.521811383464894,0.52077807250221,"SO2168.mean"
"SO2168.std",0.599501454092231,0.599501454092231,0.599501454092231,0.572944297082228,"SO2168.std"
"SWS.mean",0.706307102858827,0.844752296340913,0.614873286248442,0.844752296340913,"SWS.mean"
"SWS.std",0.585912172119069,0.704863725342569,0.545154978889919,0.704863725342569,"SWS.std"
"T504.std",0.631491483174076,0.675651257340762,0.631491483174076,0.675651257340762,"T504.std"
"CS.mean",0.646447860407146,0.779701852130703,0.646447860407146,0.779701852130703,"CS.mean"
"CS.std",0.672621520565019,0.672621520565019,0.672621520565019,0.659990965216082,"CS.std"
