"","Overall","names"
"RHIRGA672.std",36.7100004799577,"RHIRGA672.std"
"CS.mean",27.309481505291,"CS.mean"
"RPAR.mean",26.9445146984615,"RPAR.mean"
"T504.std",16.8494329121387,"T504.std"
"O342.mean",16.1836602393265,"O342.mean"
"CO2504.std",14.6522441689271,"CO2504.std"
"SWS.mean",11.7910723347896,"SWS.mean"
"PTG.std",8.98967587198237,"PTG.std"
"CO242.mean",6.73627786220156,"CO242.mean"
"SWS.std",6.09034341994631,"SWS.std"
"H2O84.std",5.05219074535991,"H2O84.std"
"SO2168.mean",4.75439887825405,"SO2168.mean"
"PTG.mean",4.75150011397788,"PTG.mean"
"NO168.std",4.52582526754862,"NO168.std"
"CS.std",4.49212104402782,"CS.std"
"Pamb0.std",4.19249334737993,"Pamb0.std"
"NO672.std",3.91557291706582,"NO672.std"
"SO2168.std",3.6798785022886,"SO2168.std"
"NOx168.std",3.24973195040393,"NOx168.std"
"O3672.std",3.22096189462127,"O3672.std"
"NOx504.std",3.21506730197536,"NOx504.std"
"NO42.std",3.06461117854704,"NO42.std"
"Pamb0.mean",2.75929993869218,"Pamb0.mean"
"NOx42.std",2.75118685893962,"NOx42.std"
"NOx336.std",2.63180154606136,"NOx336.std"
