"","Overall","names"
"RHIRGA672.std",34.9077196843565,"RHIRGA672.std"
"CS.mean",28.6279943120371,"CS.mean"
"RPAR.mean",24.6231159990474,"RPAR.mean"
"T504.std",16.7451480879463,"T504.std"
"CO2504.std",15.6263950692455,"CO2504.std"
"O342.mean",15.1075623158953,"O342.mean"
"SWS.mean",12.3370895034154,"SWS.mean"
"CO242.mean",11.9575366079927,"CO242.mean"
"PTG.std",11.6409481723604,"PTG.std"
"SWS.std",9.98170216703092,"SWS.std"
"CS.std",9.63566167929419,"CS.std"
"PTG.mean",8.92484941994816,"PTG.mean"
"Pamb0.mean",8.7222881771437,"Pamb0.mean"
"NO168.std",8.5434282803435,"NO168.std"
"SO2168.mean",8.45862256769569,"SO2168.mean"
"H2O84.std",8.37192524675591,"H2O84.std"
"NO672.std",7.92738387186428,"NO672.std"
"O3672.std",7.50267619783698,"O3672.std"
"NO42.std",7.48344324866179,"NO42.std"
"SO2168.std",7.35961963424435,"SO2168.std"
"Pamb0.std",7.33374026141686,"Pamb0.std"
"NOx42.std",6.34113372840244,"NOx42.std"
"NOx504.std",6.27147488507778,"NOx504.std"
"NOx168.std",5.84837811924124,"NOx168.std"
"NOx336.std",5.81042477147952,"NOx336.std"
